hpRemaining
BEST;controllers.RoombaController;33.4
WORST;controllers.RandomController;3.6
monstersKilled
BEST;controllers.RandomController;5.7
WORST;controllers.RoombaController;2.6
treasuresCollected
BEST;controllers.RandomController;4.6
WORST;controllers.PathfindingController;0.0
WORST;controllers.QLearning;0.0
potionsDrunk
BEST;controllers.RandomController;2.2
WORST;controllers.PathfindingController;1.0
WORST;controllers.QLearning;1.0
actionsTaken
BEST;controllers.ZombieController;300.0
BEST;controllers.RoombaController;300.0
WORST;controllers.PathfindingController;34.0
WORST;controllers.QLearning;34.0
tilesExplored
BEST;controllers.RandomController;52.4
WORST;controllers.PathfindingController;35.0
WORST;controllers.QLearning;35.0
---------------------------------------
timesCompleted
controllers.RandomController;1.0
controllers.ZombieController;0.0
controllers.RoombaController;0.0
controllers.PathfindingController;10.0
controllers.QLearning;10.0
timesDied
controllers.RandomController;6.0
controllers.ZombieController;0.0
controllers.RoombaController;0.0
controllers.PathfindingController;0.0
controllers.QLearning;0.0
timesUncompleted
controllers.RandomController;4.0
controllers.ZombieController;10.0
controllers.RoombaController;10.0
controllers.PathfindingController;0.0
controllers.QLearning;0.0
---------------------------------------
hpRemaining
controllers.RandomController;0.0;0.0;0.0;4.0;0.0;2.0;0.0;24.0;0.0;6.0
controllers.ZombieController;24.0;18.0;26.0;14.0;23.0;26.0;6.0;12.0;12.0;30.0
controllers.RoombaController;33.0;40.0;40.0;28.0;23.0;40.0;27.0;33.0;40.0;30.0
controllers.PathfindingController;22.0;26.0;16.0;19.0;15.0;14.0;18.0;14.0;14.0;20.0
controllers.QLearning;22.0;26.0;16.0;19.0;15.0;14.0;18.0;14.0;14.0;20.0
monstersKilled
controllers.RandomController;8.0;7.0;5.0;6.0;5.0;5.0;4.0;4.0;8.0;5.0
controllers.ZombieController;3.0;3.0;3.0;4.0;3.0;3.0;4.0;6.0;5.0;3.0
controllers.RoombaController;3.0;3.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;2.0
controllers.PathfindingController;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
controllers.QLearning;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
treasuresCollected
controllers.RandomController;5.0;6.0;6.0;3.0;3.0;4.0;3.0;5.0;7.0;4.0
controllers.ZombieController;4.0;2.0;2.0;3.0;3.0;2.0;4.0;4.0;4.0;2.0
controllers.RoombaController;3.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0
controllers.PathfindingController;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
controllers.QLearning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
potionsDrunk
controllers.RandomController;3.0;2.0;1.0;3.0;1.0;2.0;1.0;3.0;4.0;2.0
controllers.ZombieController;1.0;1.0;2.0;2.0;2.0;2.0;1.0;4.0;2.0;2.0
controllers.RoombaController;2.0;3.0;3.0;2.0;1.0;3.0;2.0;2.0;2.0;1.0
controllers.PathfindingController;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
controllers.QLearning;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
actionsTaken
controllers.RandomController;138.0;278.0;138.0;134.0;76.0;300.0;64.0;300.0;300.0;300.0
controllers.ZombieController;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0
controllers.RoombaController;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0
controllers.PathfindingController;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0
controllers.QLearning;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0
tilesExplored
controllers.RandomController;60.0;59.0;53.0;58.0;40.0;49.0;38.0;50.0;68.0;49.0
controllers.ZombieController;38.0;24.0;27.0;53.0;30.0;26.0;44.0;55.0;47.0;26.0
controllers.RoombaController;38.0;42.0;42.0;39.0;33.0;41.0;36.0;36.0;40.0;36.0
controllers.PathfindingController;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0
controllers.QLearning;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0
---------------------------------------

