hpRemaining
BEST;controllers.PathfindingController;22.0
BEST;controllers.QLearning;22.0
WORST;controllers.RandomController;11.5
monstersKilled
BEST;controllers.RandomController;4.4
WORST;controllers.PathfindingController;2.0
WORST;controllers.QLearning;2.0
treasuresCollected
BEST;controllers.RoombaController;2.8
WORST;controllers.PathfindingController;0.0
WORST;controllers.QLearning;0.0
potionsDrunk
BEST;controllers.ZombieController;1.6
WORST;controllers.PathfindingController;0.0
WORST;controllers.QLearning;0.0
actionsTaken
BEST;controllers.RoombaController;300.0
WORST;controllers.PathfindingController;21.0
WORST;controllers.QLearning;21.0
tilesExplored
BEST;controllers.RandomController;45.7
WORST;controllers.PathfindingController;22.0
WORST;controllers.QLearning;22.0
---------------------------------------
timesCompleted
controllers.RandomController;5.0
controllers.ZombieController;2.0
controllers.RoombaController;0.0
controllers.PathfindingController;10.0
controllers.QLearning;10.0
timesDied
controllers.RandomController;5.0
controllers.ZombieController;0.0
controllers.RoombaController;0.0
controllers.PathfindingController;0.0
controllers.QLearning;0.0
timesUncompleted
controllers.RandomController;0.0
controllers.ZombieController;8.0
controllers.RoombaController;10.0
controllers.PathfindingController;0.0
controllers.QLearning;0.0
---------------------------------------
hpRemaining
controllers.RandomController;0.0;18.0;0.0;27.0;0.0;0.0;20.0;29.0;21.0;0.0
controllers.ZombieController;27.0;28.0;17.0;40.0;29.0;13.0;21.0;6.0;4.0;14.0
controllers.RoombaController;18.0;29.0;17.0;37.0;7.0;7.0;21.0;24.0;15.0;19.0
controllers.PathfindingController;22.0;25.0;21.0;27.0;19.0;22.0;23.0;22.0;17.0;22.0
controllers.QLearning;22.0;25.0;21.0;27.0;19.0;22.0;23.0;22.0;17.0;22.0
monstersKilled
controllers.RandomController;5.0;3.0;7.0;3.0;4.0;5.0;4.0;2.0;3.0;8.0
controllers.ZombieController;3.0;3.0;4.0;2.0;3.0;5.0;3.0;4.0;5.0;4.0
controllers.RoombaController;3.0;3.0;4.0;2.0;4.0;4.0;3.0;3.0;3.0;3.0
controllers.PathfindingController;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
controllers.QLearning;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
treasuresCollected
controllers.RandomController;2.0;3.0;2.0;2.0;0.0;3.0;3.0;0.0;3.0;7.0
controllers.ZombieController;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;5.0
controllers.RoombaController;3.0;3.0;3.0;2.0;4.0;2.0;3.0;2.0;3.0;3.0
controllers.PathfindingController;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
controllers.QLearning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
potionsDrunk
controllers.RandomController;0.0;0.0;2.0;1.0;0.0;1.0;2.0;1.0;1.0;3.0
controllers.ZombieController;2.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0
controllers.RoombaController;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
controllers.PathfindingController;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
controllers.QLearning;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
actionsTaken
controllers.RandomController;66.0;77.0;102.0;99.0;47.0;91.0;153.0;47.0;67.0;192.0
controllers.ZombieController;300.0;253.0;300.0;300.0;300.0;300.0;300.0;161.0;300.0;300.0
controllers.RoombaController;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0
controllers.PathfindingController;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0
controllers.QLearning;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0;21.0
tilesExplored
controllers.RandomController;26.0;42.0;43.0;40.0;34.0;56.0;64.0;31.0;44.0;77.0
controllers.ZombieController;39.0;51.0;41.0;37.0;39.0;35.0;38.0;40.0;45.0;59.0
controllers.RoombaController;35.0;35.0;37.0;27.0;40.0;37.0;33.0;33.0;32.0;33.0
controllers.PathfindingController;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0
controllers.QLearning;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0
---------------------------------------

